Financier Country,Recipient,Recipient Region,Commitment Year,Title,Flow Class,Sector Name,Funding Agencies,Amount in USD (nominal),Source URLs,District,Development Region,Province,Location,"Distance to closest border crossing in km (India: Banbasa, India - Kanchanpur District, Nepal;
    Rupaidiha, India - Banke District, Nepal;
    Sonauli, India - Rupandehi District, Nepal;
    Raxaul, India - Birgunj, Nepal (also known as the 'Gateway of Nepal');
    Bhitthamore,India - Mahottari District, Nepal;
    Jogbani, India - Biratnagar, Nepal;
    Panitanki, India - Kakarbhitta, Nepal) (China: Gyirong, China –Rasuwa, Nepal; Zhangmu, China – Kodari, Nepal)",Ethnicity,Population (in 1000),GDP (Value Added) Rs. in million (2013),HDI (2013),Government Expenditure by district in thousands (year 2013)
India,Nepal,Asia,2012,Contribution to SAARC Secretariat and Regional Centres,ODA,SUPPORT TO NON-GOVERNMENTAL ORGANIZATIONS AND GOVERNMENT ORGANIZATIONS,Indian Ministry of External Affairs,420997,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Kathmandu,Central,Bagmati,Mahendranagar,"5,9",Braham-Hill,1632640,196723.1,0.632,3983659.85
India,Nepal,Asia,2012,Contribution to SAARC Secretariat and Regional Centres,ODA,SUPPORT TO NON-GOVERNMENTAL ORGANIZATIONS AND GOVERNMENT ORGANIZATIONS,Indian Ministry of External Affairs,420997,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Kathmandu,Central,Bagmati,Nepal Bharat Maitri Vidyalaya,183,Braham-Hill,1632640,196723.1,0.632,3983659.85
India,Nepal,Asia,2010,"Construction of College Block for BPKIHS, Dharan",ODA,POST-SECONDARY EDUCATION,Indian Ministry of External Affairs,118715,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Sunsari,East,Nr 1,SAARC Secretariat,139,Tharu,695435,34261.1,0.496,1371969.56
India,Nepal,Asia,2010,Rail Line (Jogbani-Biratnagar),ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,593576,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Morang,East,Nr 1,SAARC TB and HIV/AIDS Centre (STAC),139,Braham-Hill,880229,49026.1,0.513,1713304.47
India,Nepal,Asia,2012,Tele-Medicine Project,ODA,MULTISECTOR,Indian Ministry of External Affairs,96478,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Lalitpur,Central,Bagmati,B.P. Koirala Institute of Health Sciences,"48,7",Newar,438629,36179.0,0.601,1620023.0
India,Nepal,Asia,2008,Manmohan Adhikari Polytechnic,ODA,POST-SECONDARY EDUCATION,Indian Ministry of External Affairs,505482,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Morang,East,Nr 1,Biratnagar,"6,3",Braham-Hill,880229,49026.1,0.513,1713304.47
India,Nepal,Asia,2010,Mahendra Nagar- Tanakpur Project,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,593576,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Kanchanpur,Far-Western,Sudurpashchim,Patan Hospital,134,Chhetri,407283,17140.6,0.475,1255825.91
India,Nepal,Asia,2010,Repair of East-West Highway ,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,178073,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Sunsari,East,Nr 1,Manmohan Memorial Polytechnic,"19,2",Tharu,695435,34261.1,0.496,1371969.56
India,Nepal,Asia,2010,Repair of East-West Highway ,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,178073,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Saptari,East,Madhesh,Mahendranagar,"5,9",Yadav,576027,20822.9,0.437,1176585.68
India,Nepal,Asia,2010,Terai Roads ,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,147734,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Bara,Central,Madhesh,Sunsarī,"34,8",Musalman,609220,41527.0,0.457,1182728.5
India,Nepal,Asia,2010,Terai Roads ,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,147734,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Nawalparasi,West,Gandaki,Saptarī,"90,7",Braham-Hill,587898,30140.2,0.493,1257953.64
India,Nepal,Asia,2010,Terai Roads ,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,147734,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Sarlahi,Central,Madhesh,Tamagadhi,"44,1",Yadav,682883,25341.1,0.402,1383283.57
India,Nepal,Asia,2010,Terai Roads ,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,147734,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Dhanusa,Central,Madhesh,Nawalpur,240,Yadav,679445,28727.1,0.431,1563106.91
India,Nepal,Asia,2010,Terai Roads ,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,147734,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Parsa,Central,Madhesh,Malangwa,"45,3",Musalman,533174,30004.6,0.464,1296319.53
India,Nepal,Asia,2010,Terai Roads ,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,147734,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Bhaktapur,Central,Bagmati,Yadukoha,"38,6",Newar,284829,17142.0,0.573,885141.79
India,Nepal,Asia,2010,Terai Roads ,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,147734,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Mahottari,Central,Madhesh,Birgunj,9,Yadav,556271,17283.9,0.388,1178293.38
India,Nepal,Asia,2010,Terai Roads ,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,147734,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Mahottari,Central,Janakpur,Jatahi,"28,2",Yadav,556271,17283.9,0.388,1178293.38
India,Nepal,Asia,2010,Terai Roads ,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,147734,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Bara,Central,Madhesh,Jaleshwor,"3,8",Musalman,609220,41527.0,0.457,1182728.5
India,Nepal,Asia,2010,Terai Roads ,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,147734,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Mahottari,Central,Janakpur,Gaushala,"39,1",Yadav,556271,17283.9,0.388,1178293.38
India,Nepal,Asia,2010,Terai Roads ,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,147734,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Dhanusa,Central,Madhesh,Simraungadha,"23,4",Yadav,679445,28727.1,0.431,1563106.91
India,Nepal,Asia,2010,Terai Roads ,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,147734,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Dhanusa,Central,Madhesh,Maithan,"60,8",Yadav,679445,28727.1,0.431,1563106.91
India,Nepal,Asia,2010,Terai Roads ,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,147734,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Bara,Central,Madhesh,Bhagawanpur,"22,9",Musalman,609220,41527.0,0.457,1182728.5
India,Nepal,Asia,2010,Terai Roads ,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,147734,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Sarlahi,Central,Janakpur,Janakpur Dham,"21,3",Yadav,682883,25341.1,0.402,1383283.57
India,Nepal,Asia,2010,Terai Roads ,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,147734,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Bara,Central,Madhesh,Kalaiyā,"17,1",Musalman,609220,41527.0,0.457,1182728.5
India,Nepal,Asia,2010,Terai Roads ,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,147734,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Mahottari,Central,Janakpur,Barahathawa,"70,8",Yadav,556271,17283.9,0.388,1178293.38
India,Nepal,Asia,2010,Terai Roads ,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,147734,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Parsa,Central,Madhesh,Manmat,"17,1",Musalman,533174,30004.6,0.464,1296319.53
India,Nepal,Asia,2010,Terai Roads ,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,147734,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Sarlahi,Central,Madhesh,Samsi,"25,8",Yadav,682883,25341.1,0.402,1383283.57
India,Nepal,Asia,2010,Terai Roads ,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,147734,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Dhanusa,Central,Madhesh,Thori,"87,9",Yadav,679445,28727.1,0.431,1563106.91
India,Nepal,Asia,2010,Terai Roads ,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,147734,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Bara,Central,Madhesh,Madhubani,"66,9",Musalman,609220,41527.0,0.457,1182728.5
India,Nepal,Asia,2010,Terai Roads ,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,147734,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Mahottari,Central,Madhesh,Birendra Bajar,"92,3",Yadav,556271,17283.9,0.388,1178293.38
India,Nepal,Asia,2010,Terai Roads ,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,147734,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Morang,East,Nr 1,Matiarwa,"14,2",Braham-Hill,880229,49026.1,0.513,1713304.47
India,Nepal,Asia,2010,Terai Roads ,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,147734,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Morang,East,Nr 1,Bhittamod,10,Braham-Hill,880229,49026.1,0.513,1713304.47
India,Nepal,Asia,2010,Terai Roads ,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,147734,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Siraha,East,Sagarmatha,Charali,"16,8",Yadav,568333,17784.3,0.408,1278517.43
India,Nepal,Asia,2010,Terai Roads ,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,147734,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Siraha,East,Sagarmatha,Rangeli,"31,8",Yadav,568333,17784.3,0.408,1278517.43
India,Nepal,Asia,2010,Terai Roads ,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,147734,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Morang,East,Nr 1,Kalyanpur,106,Braham-Hill,880229,49026.1,0.513,1713304.47
India,Nepal,Asia,2010,Terai Roads ,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,147734,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Morang,East,Nr 1,Kalyanpur,106,Braham-Hill,880229,49026.1,0.513,1713304.47
India,Nepal,Asia,2010,Terai Roads ,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,147734,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Jhapa,East,Nr 1,Kanepokhari,"40,8",Braham-Hill,743957,40370.2,0.518,1607563.34
India,Nepal,Asia,2010,Terai Roads ,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,147734,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Saptari,East,Sagarmatha,Chandra Garhi,"21,5",Yadav,576027,20822.9,0.437,1176585.68
India,Nepal,Asia,2010,Terai Roads ,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,147734,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Kailali,Far-Western,Sudurpashchim,Kechana,"49,6",Chhetri,701431,29569.9,0.460,1722666.23
India,Nepal,Asia,2010,Terai Roads ,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,147734,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Kailali,Far-Western,Sudurpashchim,Barsain,"74,9",Chhetri,701431,29569.9,0.460,1722666.23
India,Nepal,Asia,2010,Terai Roads ,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,147734,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Kailali,Far-Western,Sudurpashchim,Lamki,115,Chhetri,701431,29569.9,0.460,1722666.23
India,Nepal,Asia,2010,Terai Roads ,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,147734,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Sarlahi,Central,Madhesh,Khakraula,136,Yadav,682883,25341.1,0.402,1383283.57
India,Nepal,Asia,2010,Terai Roads ,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,147734,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Chitawan,Central,Bagmati,Tikapur,125,Braham-Hill,537183,36270.9,0.551,1383942.55
India,Nepal,Asia,2010,Terai Roads ,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,147734,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Kailali,Far-Western,Sudurpashchim,Murtiya,"66,2",Chhetri,701431,29569.9,0.460,1722666.23
India,Nepal,Asia,2010,Terai Roads ,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,147734,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Kailali,Far-Western,Sudurpashchim,Sati Bajar,132,Chhetri,701431,29569.9,0.460,1722666.23
India,Nepal,Asia,2010,Terai Roads ,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,147734,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Banke,Mid-Western,Lumbini,Bhajani,123,Musalman,442485,22619.6,0.475,1170702.97
India,Nepal,Asia,2010,Terai Roads ,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,147734,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Chitawan,Central,Bagmati,Dhangadhi,"67,4",Braham-Hill,537183,36270.9,0.551,1383942.55
India,Nepal,Asia,2010,Terai Roads ,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,147734,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Dang,Mid-Western,Lumbini,Nepalgunj,"5,4",Tharu,499109,25240.2,0.485,1277719.69
India,Nepal,Asia,2010,Terai Roads ,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,147734,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Bardiya,Mid-Western,Lumbini,Baghauda,156,Tharu,387623,18787.4,0.466,1423514.84
India,Nepal,Asia,2010,Terai Roads ,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,147734,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Bardiya,Mid-Western,Lumbini,Lamahi,136,Tharu,387623,18787.4,0.466,1423514.84
India,Nepal,Asia,2010,Terai Roads ,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,147734,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Kapilbastu,West,Lumbini,Bhurigaun,"76,8",Musalman,508498,23002.8,0.432,1193584.51
India,Nepal,Asia,2010,Terai Roads ,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,147734,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Ilam,East,Nr 1,Guleria,45,Rai,269760,14852.2,0.562,983111.49
India,Nepal,Asia,2010,Terai Roads ,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,147734,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Kapilbastu,West,Lumbini,Khunuwa,"58,8",Musalman,508498,23002.8,0.432,1193584.51
India,Nepal,Asia,2010,Devi Ghat Hydro-electric Project,ODA,ENERGY GENERATION AND SUPPLY,Indian Ministry of External Affairs,237430,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Nuwakot,Central,Bagmati,Jitpur,"88,4",Tamang,255687,12266.7,0.486,958029.72
India,Nepal,Asia,2009,Manmohan Adhikari Polytechnic,ODA,POST-SECONDARY EDUCATION,Indian Ministry of External Affairs,385261,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Morang,East,Nr 1,Taulihawā,"48,5",Braham-Hill,880229,49026.1,0.513,1713304.47
India,Nepal,Asia,2008,"Construction of Embankment on Lalbakaya, Bagmati, Kamla and Khando rivers",ODA,WATER SUPPLY AND SANITATION,Indian Ministry of External Affairs,252741,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Saptari,East,Madhesh,Devighat Hydroelectric Power Plant,172,Yadav,576027,20822.9,0.437,1176585.68
India,Nepal,Asia,2009,Faculty Support BPKIHS,ODA,"HEALTH, GENERAL",Indian Ministry of External Affairs,385261,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Sunsari,East,Nr 1,Manmohan Memorial Polytechnic,"19,2",Tharu,695435,34261.1,0.496,1371969.56
India,Nepal,Asia,2010,Central Depository Sysytem,ODA,BUSINESS AND OTHER SERVICES,Indian Ministry of External Affairs,166201,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Kathmandu,Central,Bagmati,Saptarī,"90,7",Braham-Hill,1632640,196723.1,0.632,3983659.85
India,Nepal,Asia,2010,"Embankment Construction on Lalbakaya, Bagmati, Kamla and Khando rivers",ODA,GENERAL ENVIRONMENTAL PROTECTION,Indian Ministry of External Affairs,593576,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Saptari,East,Madhesh,B.P. Koirala Institute of Health Sciences,"48,7",Yadav,576027,20822.9,0.437,1176585.68
India,Nepal,Asia,2010,Flood Management (Gagan),ODA,GENERAL ENVIRONMENTAL PROTECTION,Indian Ministry of External Affairs,94972,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Siraha,East,Madhesh,Nepal Stock Exchange Ltd.,140,Yadav,568333,17784.3,0.408,1278517.43
India,Nepal,Asia,2009,Bir Hospital Expansion,ODA,BASIC HEALTH,Indian Ministry of External Affairs,2569170,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Kathmandu,Central,Bagmati,Saptarī,"90,7",Braham-Hill,1632640,196723.1,0.632,3983659.85
India,Nepal,Asia,2009,Mahendra Nagar- Tanakpur Project,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,481577,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Kanchanpur,Far-Western,Sudurpashchim,Sirāhā,"72,1",Chhetri,407283,17140.6,0.475,1255825.91
India,Nepal,Asia,2009,Mahendra Nagar- Tanakpur Project,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,481577,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Kanchanpur,Far-Western,Sudurpashchim,Kanchanpur,36,Chhetri,407283,17140.6,0.475,1255825.91
India,Nepal,Asia,2010,Faculty Support BPKIHS ,ODA,"HEALTH, GENERAL",Indian Ministry of External Affairs,94972,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Sunsari,East,Nr 1,Mahākālī Zone,171,Tharu,695435,34261.1,0.496,1371969.56
India,Nepal,Asia,2008,Development of infrastructure in Nepal,ODA,MULTISECTOR,Indian Ministry of External Affairs,1335916,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Kathmandu,Central,Bagmati,Mahendranagar,"5,9",Braham-Hill,1632640,196723.1,0.632,3983659.85
India,Nepal,Asia,2008,Development of infrastructure in Nepal,ODA,MULTISECTOR,Indian Ministry of External Affairs,1335916,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Nuwakot,Central,Bagmati,B.P. Koirala Institute of Health Sciences,"48,7",Tamang,255687,12266.7,0.486,958029.72
India,Nepal,Asia,2008,Development of infrastructure in Nepal,ODA,MULTISECTOR,Indian Ministry of External Affairs,1335916,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Parsa,Central,Madhesh,Kathmandu,140,Musalman,533174,30004.6,0.464,1296319.53
India,Nepal,Asia,2008,Development of infrastructure in Nepal,ODA,MULTISECTOR,Indian Ministry of External Affairs,1335916,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Kathmandu,Central,Bagmati,Devighat Hydroelectric Power Plant,172,Braham-Hill,1632640,196723.1,0.632,3983659.85
India,Nepal,Asia,2008,Development of infrastructure in Nepal,ODA,MULTISECTOR,Indian Ministry of External Affairs,1335916,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Sunsari,East,Nr 1,Birgunj,9,Tharu,695435,34261.1,0.496,1371969.56
India,Nepal,Asia,2008,Development of infrastructure in Nepal,ODA,MULTISECTOR,Indian Ministry of External Affairs,1335916,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Jhapa,East,Nr 1,Pashupati̇̄nāth,143,Braham-Hill,743957,40370.2,0.518,1607563.34
India,Nepal,Asia,2010,Bir Hospital Expansion,ODA,BASIC HEALTH,Indian Ministry of External Affairs,593576,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Kathmandu,Central,Bagmati,B.P. Koirala Institute of Health Sciences,"48,7",Braham-Hill,1632640,196723.1,0.632,3983659.85
India,Nepal,Asia,2010,Narayanhiti Museum,ODA,OTHER SOCIAL INFRASTRUCTURE AND SERVICES,Indian Ministry of External Affairs,23743,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Makwanpur,Central,Bagmati,Mechi Bridge,"20,5",Tamang,382268,24156.7,0.497,1186831.96
India,Nepal,Asia,2009,*Repair of East-West Highway,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,1926307,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Saptari,East,Madhesh,Saptari,"90,7",Yadav,576027,20822.9,0.437,1176585.68
India,Nepal,Asia,2009,*Repair of East-West Highway,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,1926307,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Sunsari,East,Nr 1,Nārāyaṇhiṭi̇̄ Royal Palace,"85,3",Tharu,695435,34261.1,0.496,1371969.56
India,Nepal,Asia,2008,Polytechnic at Hethauda,ODA,POST-SECONDARY EDUCATION,Indian Ministry of External Affairs,7582227,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Makwanpur,Central,Bagmati,Saptarī,"90,7",Tamang,382268,24156.7,0.497,1186831.96
India,Nepal,Asia,2009,development of border infrastructure,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,507107,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Bara,Central,Madhesh,Sunsarī,"34,8",Musalman,609220,41527.0,0.457,1182728.5
India,Nepal,Asia,2009,development of border infrastructure,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,507107,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Dhanusa,Central,Madhesh,Hetauda,"59,8",Yadav,679445,28727.1,0.431,1563106.91
India,Nepal,Asia,2009,development of border infrastructure,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,507107,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Sarlahi,Central,Madhesh,Manmat,"17,1",Yadav,682883,25341.1,0.402,1383283.57
India,Nepal,Asia,2009,development of border infrastructure,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,507107,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Bhaktapur,Central,Bagmati,Janakpur Dham,"21,3",Newar,284829,17142.0,0.573,885141.79
India,Nepal,Asia,2009,development of border infrastructure,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,507107,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Sarlahi,Central,Janakpur,Mahinathpur,"67,4",Yadav,682883,25341.1,0.402,1383283.57
