District,Zone,Geographical Region,Development Region,S.no,Const,Candidate Name,Party Name,Votes Secured,Remark,Total Votes,Percentage of Votes,Victory Margin,Cumulative Victory Margin (total),Cumulative Victory Margin (average),Seat share,,
Kathmandu,Bagmati,Hill,Central,91,3,Chakra Bahadur Thakuri,Nepali Congress (NC),12246,Not Elected,37151,"32,96%",,,,,,
Kathmandu,Bagmati,Hill,Central,92,4,Gagan Kumar Thapa ,Nepali Congress (NC),22336,Elected,45524,"49,06%","29,00%",,,,,
Kathmandu,Bagmati,Hill,Central,92,4,Nirmal Quikel,Communist Party of Nepal (UML),9135,Not Elected,45524,"20,07%",,,,,,
Kathmandu,Bagmati,Hill,Central,93,5,Nara Hari Acharya ,Nepali Congress (NC),15364,Elected,43912,"34,99%","1,46%",,,,,
Kathmandu,Bagmati,Hill,Central,93,5,Ishwar Pokhrel,Communist Party of Nepal (UML),14723,Not Elected,43912,"33,53%",,,,,,
Kathmandu,Bagmati,Hill,Central,94,6,Bhimsen Das Pradhan ,Nepali Congress (NC),14151,Elected,41056,"34,47%","3,11%",,,,,
Kathmandu,Bagmati,Hill,Central,94,6,Yogesh Kumar Bhattarai,Communist Party of Nepal (UML),12874,Not Elected,41056,"31,36%",,,,,,
Kathmandu,Bagmati,Hill,Central,95,7,Ram Bir Manandhar ,Communist Party of Nepal (UML),13289,Elected,41730,"31,85%","6,72%",,,,,
Kathmandu,Bagmati,Hill,Central,95,7,Pramila Devisingh Dangol,Nepali Congress (NC),10486,Not Elected,41730,"25,13%",,,,,,
Kathmandu,Bagmati,Hill,Central,96,8,Nabindra Raj Joshi ,Nepali Congress (NC),13774,Elected,36042,"38,22%","20,55%",,,,,
Kathmandu,Bagmati,Hill,Central,96,8,Jeevan Ram Shrestha,Communist Party of Nepal (UML),6367,Not Elected,36042,"17,67%",,,,,,
Kathmandu,Bagmati,Hill,Central,97,9,Dhyan Gobinda Ranjit,Nepali Congress (NC),14483,Elected,46115,"31,41%","3,00%",,,,,
Kathmandu,Bagmati,Hill,Central,97,9,Krishna Gopal Shrestha,Communist Party of Nepal (UML),13100,Not Elected,46115,"28,41%",,,,,,
Kathmandu,Bagmati,Hill,Central,98,10,Rajendra Kumar K.C. ,Nepali Congress (NC),20392,Elected,53300,"38,26%","12,71%",,,,,
Kathmandu,Bagmati,Hill,Central,98,10,Surendra Manandhar,Communist Party of Nepal (UML),13619,Not Elected,53300,"25,55%",,,,,,
Bhaktapur,Bagmati,Hill,Central,99,1,Narayanman Bijukchhe,Nepal Workers and Peasants Party,20446,Elected,56529,"36,17%","25,17%","-7,23%","-7,23%",0,,
Bhaktapur,Bagmati,Hill,Central,99,1,Sanu Suwal,Communist Party of Nepal (Maoists),6216,Not Elected,56529,"11,00%",,,,,,
Bhaktapur,Bagmati,Hill,Central,100,2,Rameshwor Prasad Dhungel ,Nepali Congress (NC),21121,Elected,70387,"30,01%","7,23%",,,,,
Bhaktapur,Bagmati,Hill,Central,100,2,Mahesh Vasnet,Communist Party of Nepal (UML),16029,Not Elected,70387,"22,77%",,,,,,
Lalitpur,Bagmati,Hill,Central,101,1,Udaya Samser J.B.R ,Nepali Congress (NC),18560,Elected,45659,"40,65%","17,25%","-55,37%","-18,46%",0,,
Lalitpur,Bagmati,Hill,Central,101,1,Madhu-Sudan-Poudel,Communist Party of Nepal (UML),10682,Not Elected,45659,"23,40%",,,,,,
Lalitpur,Bagmati,Hill,Central,102,2,Chandra Maharjan ,Nepali Congress (NC),23231,Elected,56363,"41,22%","19,82%",,,,,
Lalitpur,Bagmati,Hill,Central,102,2,Saroj Dogol,Communist Party of Nepal (Maoists),12059,Not Elected,56363,"21,40%",,,,,,
Lalitpur,Bagmati,Hill,Central,103,3,Madan Bahadur Amatya ,Nepali Congress (NC),23566,Elected,61535,"38,30%","18,30%",,,,,
Lalitpur,Bagmati,Hill,Central,103,3,Raghuji-Hose,Communist Party of Nepal (UML),12308,Not Elected,61535,"20,00%",,,,,,
Kavre,Bagmati,Hill,Central,104,1,Tirtha Bahadur Lama ,Nepali Congress (NC),12270,Elected,33885,"36,21%","7,40%","5,17%","2,62%","0,5",,
Kavre,Bagmati,Hill,Central,104,1,Suryaman Tamang Dong,Communist Party of Nepal (Maoists),9763,Not Elected,33885,"28,81%",,,,,,
Kavre,Bagmati,Hill,Central,105,2,Ram Hari Subedi ,Communist Party of Nepal (UML),13510,Elected,39939,"33,83%","6,18%",,,,,
Kavre,Bagmati,Hill,Central,105,2,Prasad Humagai,Nepali Congress (NC),11040,Not Elected,39939,"27,64%",,,,,,
Kavre,Bagmati,Hill,Central,106,3,Kanchan Chandra Bade ,Nepali Congress (NC),19391,Elected,47154,"41,12%","5,58%",,,,,
Kavre,Bagmati,Hill,Central,106,3,Gškul Prasad Banskota,Communist Party of Nepal (UML),16761,Not Elected,47154,"35,55%",,,,,,
Kavre,Bagmati,Hill,Central,107,4,Bidhur Prasad Sapkota ,Communist Party of Nepal (UML),16754,Elected,41298,"40,57%","12,02%",,,,,
Kavre,Bagmati,Hill,Central,107,4,Kumar Prasad Lamichhane,Nepali Congress (NC),11789,Not Elected,41298,"28,55%",,,,,,
Sindhupalchok,Bagmati,Mountain,Central,108,1,Mohan Bahadur Basnet ,Nepali Congress (NC),15021,Elected,50435,"29,78%","0,06%","21,16%","10,48%","0,66",,
Sindhupalchok,Bagmati,Mountain,Central,108,1,Arun Prasad,Communist Party of Nepal (UML),14989,Not Elected,50435,"29,72%",,,,,,
Sindhupalchok,Bagmati,Mountain,Central,109,2,Agni Prasad Sapkota ,Communist Party of Nepal (Maoists),12808,Elected,42488,"30,14%","15,10%",,,,,
Sindhupalchok,Bagmati,Mountain,Central,109,2,Shnu Vikram Thapa,Rashtriya Prajatantra Party Nepal (RPP),6391,Not Elected,42488,"15,04%",,,,,,
Sindhupalchok,Bagmati,Mountain,Central,110,3,Sher Bahadur Tamang ,Communist Party of Nepal (UML),14527,Elected,40684,"35,71%","5,99%",,,,,
Sindhupalchok,Bagmati,Mountain,Central,110,3,Pashupati Shamsher J.B.R.,Rashtriya Prajatantra Party Nepal (RPP),12090,Not Elected,40684,"29,72%",,,,,,
Makwanpur,Narayani,Hill,Central,111,1,Indra Bahadur Baniya ,Nepali Congress (NC),11888,Elected,35553,"33,44%","6,65%","28,38%","5,02%","0,75",,
Makwanpur,Narayani,Hill,Central,111,1,Anraj Jargamgar,Communist Party of Nepal (UML),9522,Not Elected,35553,"26,78%",,,,,,
Makwanpur,Narayani,Hill,Central,112,2,Subhas Chandra Thakuri ,Communist Party of Nepal (UML),11711,Elected,35240,"33,23%","9,18%",,,,,
Makwanpur,Narayani,Hill,Central,112,2,Jayaram Lamichhane,Nepali Congress (NC),8477,Not Elected,35240,"24,06%",,,,,,
Makwanpur,Narayani,Hill,Central,113,3,Ananta Prasad Paudel ,Communist Party of Nepal (UML),14268,Elected,47243,"30,20%","5,93%",,,,,
Makwanpur,Narayani,Hill,Central,113,3,Deepak Bahadur Singh,Rashtriya Prajatantra Party Nepal (RPP),11467,Not Elected,47243,"24,27%",,,,,,
Makwanpur,Narayani,Hill,Central,114,4,Rajaram Synagtang ,Communist Party of Nepal (UML),10904,Elected,29086,"37,49%","19,93%",,,,,
Makwanpur,Narayani,Hill,Central,114,4,Uma Dahal,Nepali Congress (NC),5108,Not Elected,29086,"17,56%",,,,,,
Rautahat,Narayani,Terai,Central,115,1,Madhav Kumar Nepal ,Communist Party of Nepal (UML),8361,Elected,35920,"23,28%","0,94%","-18,66%","-12,91%","0,66",,
Rautahat,Narayani,Terai,Central,115,1,Ajay Kumar Gupta,"Madhesi People's Rights Forum, Nepal",8023,Not Elected,35920,"22,34%",,,,,,
Rautahat,Narayani,Terai,Central,116,2,Mo Mustak Aalam ,"Madhesi People's Rights Forum, Nepal",13450,Elected,34896,"38,54%","25,12%",,,,,
Rautahat,Narayani,Terai,Central,116,2,Ran Kumar Sah,Communist Party of Nepal (Maoists),4685,Not Elected,34896,"13,43%",,,,,,
Rautahat,Narayani,Terai,Central,117,3,Prabhu Saha Teli,Communist Party of Nepal (Maoists),13009,Elected,39593,"32,86%","7,07%",,,,,
Rautahat,Narayani,Terai,Central,117,3,Ramkishore Prasad Yadav,"Madhesi People's Rights Forum, Nepal",10210,Not Elected,39593,"25,79%",,,,,,
Rautahat,Narayani,Terai,Central,118,4,Satyanarayan Bhagat Bin ,Communist Party of Nepal (Maoists),10008,Elected,42494,"23,55%","5,00%",,,,,
Rautahat,Narayani,Terai,Central,118,4,Krishna Prasad Yadav,Nepali Congress (NC),7885,Not Elected,42494,"18,56%",,,,,,
Rautahat,Narayani,Terai,Central,119,5,Sunil Kumar Yadav ,Nepali Congress (NC),11261,Elected,40580,"27,75%","7,86%",,,,,
Rautahat,Narayani,Terai,Central,119,5,Vasudev Prasad Rai,Communist Party of Nepal (UML),8071,Not Elected,40580,"19,89%",,,,,,
Rautahat,Narayani,Terai,Central,120,6,Ram Kumar Bhattarai ,Communist Party of Nepal (UML),14398,Elected,41452,"34,73%","1,31%",,,,,
Rautahat,Narayani,Terai,Central,120,6,Prasad Timalsina,Nepali Congress (NC),13856,Not Elected,41452,"33,43%",,,,,,
Bara,Narayani,Terai,Central,121,1,Ramayodhya Prasad Yadav ,Nepali Congress (NC),8337,Elected,40976,"20,35%","3,32%","17,29%","5,76%","0,5",,
Bara,Narayani,Terai,Central,121,1,Ramkishore Prasad Yadav,Communist Party of Nepal (Maoists),6978,Not Elected,40976,"17,03%",,,,,,
Bara,Narayani,Terai,Central,122,2,Radhe chandra Yadav ,Nepali Congress (NC),8867,Elected,40372,"21,96%","11,16%",,,,,
Bara,Narayani,Terai,Central,122,2,Rambabu Prasad Yadav,Communist Party of Nepal (Maoists),4362,Not Elected,40372,"10,80%",,,,,,
Bara,Narayani,Terai,Central,123,3,Farmullah Mansoor ,Nepali Congress (NC),10456,Elected,40926,"25,55%","2,51%",,,,,
Bara,Narayani,Terai,Central,123,3,Nod Prasad Sah,Communist Party of Nepal (UML),9427,Not Elected,40926,"23,03%",,,,,,
Bara,Narayani,Terai,Central,124,4,Nejama Khatun ,Communist Party of Nepal (UML),12361,Elected,43259,"28,57%","11,48%",,,,,
Bara,Narayani,Terai,Central,124,4,Sunil Kumar Gupta Kalwar,Nepali Congress (NC),7396,Not Elected,43259,"17,10%",,,,,,
Bara,Narayani,Terai,Central,125,5,Balbir Prasad Chaudhary ,Communist Party of Nepal (UML),15800,Elected,40176,"39,33%","12,77%",,,,,
Bara,Narayani,Terai,Central,125,5,Umakanta Chaudhary,Nepali Congress (NC),10671,Not Elected,40176,"26,56%",,,,,,
Bara,Narayani,Terai,Central,126,6,Purushottam Paudel ,Communist Party of Nepal (UML),16511,Elected,43169,"38,25%","10,03%",,,,,
Bara,Narayani,Terai,Central,126,6,Shambhu Bahadur Budhathoki,Nepali Congress (NC),12179,Not Elected,43169,"28,21%",,,,,,
Parsa,Narayani,Terai,Central,127,1,Rajendra Amatya ,Nepali Congress (NC),12463,Elected,40611,"30,69%","25,09%","-24,03%","-14,85%","0,6",,
Parsa,Narayani,Terai,Central,127,1,Navraj Timilsana,Communist Party of Nepal (UML),2273,Not Elected,40611,"5,60%",,,,,,
Parsa,Narayani,Terai,Central,128,2,Bichari Prasad Yadav ,Communist Party of Nepal (UML),8714,Elected,40034,"21,77%","5,00%",,,,,
Parsa,Narayani,Terai,Central,128,2,Pradip Yadav,"Madhesi People's Rights Forum, Nepal",6711,Not Elected,40034,"16,76%",,,,,,
Parsa,Narayani,Terai,Central,129,3,Raj Kumar Gupta ,Communist Party of Nepal (UML),16192,Elected,41991,"38,56%","9,33%",,,,,
Parsa,Narayani,Terai,Central,129,3,Ajay Kumar Chaurasia,Nepali Congress (NC),12275,Not Elected,41991,"29,23%",,,,,,
Parsa,Narayani,Terai,Central,130,4,Surendra Prasad Chaudhary ,Nepali Congress (NC),12963,Elected,41228,"31,44%","15,96%",,,,,
Parsa,Narayani,Terai,Central,130,4,Praduman Prasad Chauhan,Communist Party of Nepal (UML),6383,Not Elected,41228,"15,48%",,,,,,
Parsa,Narayani,Terai,Central,131,5,Jaya Prakash Tharu ,Communist Party of Nepal (UML),10450,Elected,42497,"24,59%","2,69%",,,,,
Parsa,Narayani,Terai,Central,131,5,Ramesh Rijal,Nepali Congress (NC),9306,Not Elected,42497,"21,90%",,,,,,
Chitawan,Narayani,Terai,Central,132,1,Surendra Prasad Pandey ,Communist Party of Nepal (UML),18760,Elected,43319,"43,31%","11,58%","-12,96%","-1,43%","0,4",,
Chitawan,Narayani,Terai,Central,132,1,Rajendra Prasad Burlakoti,Nepali Congress (NC),13745,Not Elected,43319,"31,73%",,,,,,
Chitawan,Narayani,Terai,Central,133,2,Shesh Nath Adhikari ,Nepali Congress (NC),17810,Elected,48780,"36,51%","2,05%",,,,,
Chitawan,Narayani,Terai,Central,133,2,Krishna Prasad Sharma Khanal,Communist Party of Nepal (UML),16811,Not Elected,48780,"34,46%",,,,,,
Chitawan,Narayani,Terai,Central,134,3,Krishna Bhakta Pokhrel ,Communist Party of Nepal (UML),15661,Elected,42119,"37,18%","5,74%",,,,,
Chitawan,Narayani,Terai,Central,134,3,Bhim Bahadur Shrestha,Nepali Congress (NC),13244,Not Elected,42119,"31,44%",,,,,,
Chitawan,Narayani,Terai,Central,135,4,Sushil Koirala ,Nepali Congress (NC),20760,Elected,47170,"44,01%","21,24%",,,,,
Chitawan,Narayani,Terai,Central,135,4,Bild Bahadur Shrestha,Communist Party of Nepal (Maoists),10739,Not Elected,47170,"22,77%",,,,,,
Chitawan,Narayani,Terai,Central,136,5,Bikram Pandey ,Rashtriya Prajatantra Party Nepal (RPP),10858,Elected,35134,"30,90%","6,98%",,,,,
Chitawan,Narayani,Terai,Central,136,5,Dan Bahadur Tamang,Communist Party of Nepal (UML),8406,Not Elected,35134,"23,93%",,,,,,
Gorkha,Gandaki,Hill,West,137,1,Dr. Baburam Bhattarai ,Communist Party of Nepal (Maoists),22824,Elected,40760,"56,00%","33,99%","83,74%","27,91%",1,,
Gorkha,Gandaki,Hill,West,137,1,Ran Babu Shrestha,Nepali Congress (NC),8971,Not Elected,40760,"22,01%",,,,,,
Gorkha,Gandaki,Hill,West,138,2,Hitraj Pandey ,Communist Party of Nepal (Maoists),20761,Elected,34686,"59,85%","36,99%",,,,,
Gorkha,Gandaki,Hill,West,138,2,Ravikala Sharma Neupane,Nepali Congress (NC),7929,Not Elected,34686,"22,86%",,,,,,
Gorkha,Gandaki,Hill,West,139,3,Amar Bahadur Gurung (Tamu),Communist Party of Nepal (Maoists),14440,Elected,32128,"44,95%","12,76%",,,,,
Gorkha,Gandaki,Hill,West,139,3,Hari Bahadur Ghale,Nepali Congress (NC),10342,Not Elected,32128,"32,19%",,,,,,
Manang,Gandaki,Mountain,West,140,1,Tek Bahadur Gurung ,Nepali Congress (NC),1527,Elected,3656,"41,77%","34,63%","-34,63%","-34,63%",0,,
Manang,Gandaki,Mountain,West,140,1,Kapil Lama,Communist Party of Nepal (Maoists),261,Not Elected,3656,"7,14%",,,,,,
Lamjung,Gandaki,Hill,West,141,1,Jamindra Man Ghale ,Communist Party of Nepal (UML),11309,Elected,33068,"34,20%","2,72%","0,85%","0,85%","0,5",,
Lamjung,Gandaki,Hill,West,141,1,DR. Takraj Gurung,Nepali Congress (NC),10411,Not Elected,33068,"31,48%",,,,,,
Lamjung,Gandaki,Hill,West,142,2,Chandra Bahadur Kunwar ,Nepali Congress (NC),14765,Elected,36071,"40,93%","1,86%",,,,,
Lamjung,Gandaki,Hill,West,142,2,Prithvi Subba Gurung,Communist Party of Nepal (UML),14093,Not Elected,36071,"39,07%",,,,,,
Kaski,Gandaki,Hill,West,143,1,Yagya Bahadur Thapa ,Nepali Congress (NC),15832,Elected,42199,"37,52%","0,64%","11,21%","5,60%","0,5",,
Kaski,Gandaki,Hill,West,143,1,Bahadur G.C.,Communist Party of Nepal (UML),15560,Not Elected,42199,"36,87%",,,,,,
Kaski,Gandaki,Hill,West,144,2,Sharada Paudel ,Nepali Congress (NC),11662,Elected,37040,"31,48%","0,93%",,,,,
Kaski,Gandaki,Hill,West,144,2,Krishna Bahadur Thapa,Communist Party of Nepal (UML),11318,Not Elected,37040,"30,56%",,,,,,
Kaski,Gandaki,Hill,West,145,3,Rabindra Adhikari ,Communist Party of Nepal (UML),13110,Elected,32054,"40,90%","7,18%",,,,,
Kaski,Gandaki,Hill,West,145,3,S_bhiyata bah_dura adhik_r_,Nepali Congress (NC),10808,Not Elected,32054,"33,72%",,,,,,
Kaski,Gandaki,Hill,West,146,4,Sita GIri (Oli) ,Communist Party of Nepal (UML),15438,Elected,40919,"37,73%","5,60%",,,,,
Kaski,Gandaki,Hill,West,146,4,Mahadev Gurung,Nepali Congress (NC),13147,Not Elected,40919,"32,13%",,,,,,
Tanahu,Gandaki,Hill,West,147,1,Shankar Bhandari ,Nepali Congress (NC),15713,Elected,37021,"42,44%","12,68%","-23,90%","-9,98%","0,33",,
Tanahu,Gandaki,Hill,West,147,1,Ram Bahadur Gurung,Communist Party of Nepal (UML),11018,Not Elected,37021,"29,76%",,,,,,
Tanahu,Gandaki,Hill,West,148,2,Ram Chandra Poudel,Nepali Congress,18149,Elected,42302,"42,90%","15,15%",,,,,
Tanahu,Gandaki,Hill,West,148,2,Krishna Kumar Shrestha,Communist Party of Nepal (UML),11739,Not Elected,42302,"27,75%",,,,,,
Tanahu,Gandaki,Hill,West,149,3,Tuk Raj Sigdel ,Communist Party of Nepal (UML),15974,Elected,40340,"39,60%","3,94%",,,,,
Tanahu,Gandaki,Hill,West,149,3,Jit Prakash Alemgar,Nepali Congress (NC),14385,Not Elected,40340,"35,66%",,,,,,
Syangja,Gandaki,Hill,West,150,1,Raju Thapa ,Nepali Congress (NC),16699,Elected,42455,"39,33%","3,03%","1,98%","5,41%","0,33",,
Syangja,Gandaki,Hill,West,150,1,Narayan Prasad Marasini,Communist Party of Nepal (UML),15411,Not Elected,42455,"36,30%",,,,,,
Syangja,Gandaki,Hill,West,151,2,Kamal Prasad Pangeni ,Nepali Congress (NC),17791,Elected,39819,"44,68%","3,83%",,,,,
Syangja,Gandaki,Hill,West,151,2,Krishna-Mine,Communist Party of Nepal (UML),16264,Not Elected,39819,"40,84%",,,,,,
Syangja,Gandaki,Hill,West,152,3,Mukti Prasad Pathak ,Communist Party of Nepal (UML),18717,Elected,41768,"44,81%","8,84%",,,,,
Syangja,Gandaki,Hill,West,152,3,Mohan Prasad Pandey,Nepali Congress (NC),15023,Not Elected,41768,"35,97%",,,,,,
Gulmi,Lumbini,Hill,West,153,1,Krishna Bahadur Chhantel Thapa ,Nepali Congress (NC),10592,Elected,29223,"36,25%","0,54%","15,04%","17,98%","0,33",,
Gulmi,Lumbini,Hill,West,153,1,Maina Kumari Bhandari,Communist Party of Nepal (UML),10433,Not Elected,29223,"35,70%",,,,,,
Gulmi,Lumbini,Hill,West,154,2,Chandra Kanta Bhandari ,Nepali Congress (NC),21189,Elected,47068,"45,02%","5,33%",,,,,
Gulmi,Lumbini,Hill,West,154,2,Pradeep Kumar Gyawali,Communist Party of Nepal (UML),18681,Not Elected,47068,"39,69%",,,,,,
Gulmi,Lumbini,Hill,West,155,3,Gokarna Raj Bista ,Communist Party of Nepal (UML),18432,Elected,38909,"47,37%","20,92%",,,,,
Gulmi,Lumbini,Hill,West,155,3,Trilokya Pratap Sen.,Nepali Congress (NC),10294,Not Elected,38909,"26,46%",,,,,,
Palpa,Lumbini,Hill,West,156,1,Radha Krishna Kadel ,Communist Party of Nepal (UML),17804,Elected,34805,"51,15%","16,80%","12,60%","4,07%","0,66",,
Palpa,Lumbini,Hill,West,156,1,Tadevi Devkota Pandey,Nepali Congress (NC),11958,Not Elected,34805,"34,36%",,,,,,
Palpa,Lumbini,Hill,West,157,2,Som Prasad Pandey ,Communist Party of Nepal (UML),13193,Elected,34114,"38,67%","0,28%",,,,,
Palpa,Lumbini,Hill,West,157,2,Bahadur Rana,Nepali Congress (NC),13098,Not Elected,34114,"38,39%",,,,,,
Palpa,Lumbini,Hill,West,158,3,Hari Prasad Nepal ,Nepali Congress (NC),13135,Elected,35363,"37,14%","4,47%",,,,,
Palpa,Lumbini,Hill,West,158,3,Kul Prasad Nepaal,Communist Party of Nepal (UML),11554,Not Elected,35363,"32,67%",,,,,,
Arghakhanchi,Lumbini,Hill,West,159,1,Top Bahadur Ryamajhi ,Communist Party of Nepal (Maoists),12286,Elected,38790,"31,67%","2,71%","8,94%","4,47%",1,,
Arghakhanchi,Lumbini,Hill,West,159,1,Ram Bahadur BC,Nepali Congress (NC),11234,Not Elected,38790,"28,96%",,,,,,
Arghakhanchi,Lumbini,Hill,West,160,2,Dr. Duman Singh Thapa Chhetri ,Communist Party of Nepal (UML),16650,Elected,41980,"39,66%","6,23%",,,,,
Arghakhanchi,Lumbini,Hill,West,160,2,Pushpa Bhusal Gautam,Nepali Congress (NC),14036,Not Elected,41980,"33,43%",,,,,,
Nawalparasi,Lumbini,Terai,West,161,1,Shashanka Koirala,Nepali Congress (NC),18228,Elected,47532,"38,35%","12,85%","-34,36%","-11,45%","0,5",,
Nawalparasi,Lumbini,Terai,West,161,1,pak adhikaaree kshetree,Communist Party of Nepal (UML),12120,Not Elected,47532,"25,50%",,,,,,
Nawalparasi,Lumbini,Terai,West,162,2,Jeevan Shrestha ,Communist Party of Nepal (UML),16221,Elected,41281,"39,29%","6,94%",,,,,
Nawalparasi,Lumbini,Terai,West,162,2,Mahendra,Nepali Congress (NC),13358,Not Elected,41281,"32,36%",,,,,,
Nawalparasi,Lumbini,Terai,West,163,3,Krishna Prasad Paudel ,Communist Party of Nepal (UML),14804,Elected,44814,"33,03%","0,73%",,,,,
Nawalparasi,Lumbini,Terai,West,163,3,Krishna Chandra,Nepali Congress (NC),14479,Not Elected,44814,"32,31%",,,,,,
Nawalparasi,Lumbini,Terai,West,164,4,Baijanath Chaudhary Tharu ,Communist Party of Nepal (UML),10750,Elected,42019,"25,58%","7,62%",,,,,
Nawalparasi,Lumbini,Terai,West,164,4,Devendra Raj Kandel,Nepali Congress (NC),7550,Not Elected,42019,"17,97%",,,,,,
Nawalparasi,Lumbini,Terai,West,165,5,Bikram Khanal ,Nepali Congress (NC),9204,Elected,43199,"21,31%","4,12%",,,,,
Nawalparasi,Lumbini,Terai,West,165,5,indr kumaar adhikaaree,Communist Party of Nepal (UML),7423,Not Elected,43199,"17,18%",,,,,,
Nawalparasi,Lumbini,Terai,West,166,6,Devkaran Prasad Kalwar ,Nepali Congress (NC),14580,Elected,38665,"37,71%","32,66%",,,,,
Nawalparasi,Lumbini,Terai,West,166,6,golaakaar chitr hansiya hathauda,Communist Party of Nepal (Maoists),1952,Not Elected,38665,"5,05%",,,,,,
Rupandehi,Lumbini,Terai,West,167,1,Abdul Rajjak Gaddi ,Nepali Congress (NC),14400,Elected,46952,"30,67%","0,43%","-52,90%","0,73%","0,14",,
Rupandehi,Lumbini,Terai,West,167,1,chhavi laal vish_vak,Communist Party of Nepal (UML),14196,Not Elected,46952,"30,24%",,,,,,
Rupandehi,Lumbini,Terai,West,168,2,Dipak Bohara ,Rashtriya Prajatantra Party Nepal (RPP),8152,Elected,45329,"17,98%","5,82%",,,,,
Rupandehi,Lumbini,Terai,West,168,2,Bharat Kumar Pokharel,Communist Party of Nepal (UML),5516,Not Elected,45329,"12,17%",,,,,,
Rupandehi,Lumbini,Terai,West,169,3,Bal Krishna Khad ,Nepali Congress (NC),18481,Elected,52393,"35,27%","0,16%",,,,,
Rupandehi,Lumbini,Terai,West,169,3,Ghanshyam Bhushal,Communist Party of Nepal (UML),18395,Not Elected,52393,"35,11%",,,,,,
Rupandehi,Lumbini,Terai,West,170,4,Bishnu Prasad Paudel,Communist Party of Nepal (UML),19577,Elected,51880,"37,74%","11,46%",,,,,
Rupandehi,Lumbini,Terai,West,170,4,Surya Prasad Pradhan,Nepali Congress (NC),13632,Not Elected,51880,"26,28%",,,,,,
Rupandehi,Lumbini,Terai,West,171,5,Bharat Kumar Shah ,Nepali Congress (NC),14274,Elected,43030,"33,17%","1,18%",,,,,
Rupandehi,Lumbini,Terai,West,171,5,Ramnath Dhakal,Communist Party of Nepal (UML),13766,Not Elected,43030,"31,99%",,,,,,
Rupandehi,Lumbini,Terai,West,172,6,Sarbendra Nath Sukla ,Tarai Madhes Loktantrik Party,14692,Elected,40106,"36,63%","33,19%",,,,,
Rupandehi,Lumbini,Terai,West,172,6,Lalman Yadav,Communist Party of Nepal (Maoists),1382,Not Elected,40106,"3,45%",,,,,,
Rupandehi,Lumbini,Terai,West,173,7,Kamaleshwor Puri Goswami ,Tarai Madhes Loktantrik Party,9263,Elected,34852,"26,58%","23,58%",,,,,
Rupandehi,Lumbini,Terai,West,173,7,Maqsood Ali,Communist Party of Nepal (Maoists),1045,Not Elected,34852,"3,00%",,,,,,
Kapilbastu,Lumbini,Terai,West,174,1,Balram Adhikari ,Communist Party of Nepal (UML),16547,Elected,45389,"36,46%","6,66%","-36,01%","-7,57%","0,25",,
Kapilbastu,Lumbini,Terai,West,174,1,Kumar Upadhyay Lamichhane,Nepali Congress (NC),13526,Not Elected,45389,"29,80%",,,,,,
Kapilbastu,Lumbini,Terai,West,175,2,Atahar Kamal Musalman ,Independent,4674,Elected,34654,"13,49%","0,00%",,,,,
Kapilbastu,Lumbini,Terai,West,175,2,n/A,n/A,n/a,n/a,34654,"0,00%",,,,,,
Kapilbastu,Lumbini,Terai,West,176,3,Brijesh Kumar Gupata ,Tarai Madhes Loktantrik Party,9225,Elected,35845,"25,74%","19,94%",,,,,
Kapilbastu,Lumbini,Terai,West,176,3,Baburam Khanal,Communist Party of Nepal (UML),2077,Not Elected,35845,"5,79%",,,,,,
Kapilbastu,Lumbini,Terai,West,177,4,urendra Raj Acharya ,Nepali Congress (NC),7900,Elected,40815,"19,36%","2,28%",,,,,
Kapilbastu,Lumbini,Terai,West,177,4,Netraja Adhikari,Communist Party of Nepal (UML),6971,Not Elected,40815,"17,08%",,,,,,
Kapilbastu,Lumbini,Terai,West,178,5,Avishesh Pratap Shah ,"Madhesi People's Rights Forum, Nepal",8939,Elected,37256,"23,99%","20,45%",,,,,
Kapilbastu,Lumbini,Terai,West,178,5,Javed Alam Khan,Communist Party of Nepal (Maoists),1322,Not Elected,37256,"3,55%",,,,,,
Mustang,Dhawalagiri,Mountain,West,179,1,Romi Gauchan Thakali ,Nepali Congress (NC),1424,Elected,5076,"28,05%","6,40%","-6,40%","-6,40%",0,,
Mustang,Dhawalagiri,Mountain,West,179,1,Chandramohan Gauchan,Communist Party of Nepal (UML),1099,Not Elected,5076,"21,65%",,,,,,
Myagdi,Dhawalagiri,Hill,West,180,1,Navaraj Sharma ,Communist Party of Nepal (UML),15955,Elected,41196,"38,73%","8,36%","8,36%","8,36%",1,,
Myagdi,Dhawalagiri,Hill,West,180,1,Kham Bahadur Garvuja,Nepali Congress (NC),12509,Not Elected,41196,"30,36%",,,,,,
Baglung,Dhawalagiri,Hill,West,181,1,Hari Bahadur Khadka ,Nepali Congress (NC),13500,Elected,36488,"37,00%","4,21%","-25,08%","8,36%",0,,
Baglung,Dhawalagiri,Hill,West,181,1,Ra Bahadur Khatri,Communist Party of Nepal (UML),11963,Not Elected,36488,"32,79%",,,,,,
Baglung,Dhawalagiri,Hill,West,182,2,Prakash Sharma Paudel ,Nepali Congress (NC),10253,Elected,29673,"34,55%","14,82%",,,,,
Baglung,Dhawalagiri,Hill,West,182,2,Lil Bahadur Thapa Magar,Communist Party of Nepal (Maoists),5854,Not Elected,29673,"19,73%",,,,,,
