District,Zone,Geographical Region,Development Region,S.no,Const,Candidate Name,Party Name,Total Votes,Remark,Total Votes,Percentage of Votes,Victory Margin,Cumulative Victory Margin (total),Cumulative Victory Margin (average),Seat share,
Kathmandu,Bagmati,Hill,Central,90,2,Jhakku Prasad Subedi,Communist Party of Nepal (Maoists),13858,Elected,41257,"0,335894515","0,056087452",,,,
Kathmandu,Bagmati,Hill,Central,90,2,Dipak Prasad Kuikel,Nepali Congress,11544,Not Elected,41257,"0,279807063",,,,,
Kathmandu,Bagmati,Hill,Central,91,3,Chakra Bahadur Thakuri,Nepali Congress,12966,Elected,32786,"0,395473678","0,104221314",,,,
Kathmandu,Bagmati,Hill,Central,91,3,Rameshwor Phuyal,Communist Party of Nepal (UML),9549,Not Elected,32786,"0,291252364",,,,,
Kathmandu,Bagmati,Hill,Central,92,4,Suprabha Ghimire,Nepali Congress,13451,Elected,37654,"0,357226324","0,095846391",,,,
Kathmandu,Bagmati,Hill,Central,92,4,Bidhya Devi Bhandari,Communist Party of Nepal (UML),9842,Not Elected,37654,"0,261379933",,,,,
Kathmandu,Bagmati,Hill,Central,93,5,Narahari Acharya,Nepali Congress,13245,Elected,37378,"0,354352828","0,110359035",,,,
Kathmandu,Bagmati,Hill,Central,93,5,Ishwor Pokhrel,Communist Party of Nepal (UML),9120,Not Elected,37378,"0,243993793",,,,,
Kathmandu,Bagmati,Hill,Central,94,6,Hit Man Shakya,Communist Party of Nepal (Maoists),10768,Elected,34135,"0,315453347","0,020799766",,,,
Kathmandu,Bagmati,Hill,Central,94,6,Bhimsen Das Pradhan,Nepali Congress,10058,Not Elected,34135,"0,294653581",,,,,
Kathmandu,Bagmati,Hill,Central,95,7,Hisila Yami (Bhattarai),Communist Party of Nepal (Maoists),12276,Elected,35933,"0,341635822","0,127153313",,,,
Kathmandu,Bagmati,Hill,Central,95,7,Pramila Singh Dangol,Nepali Congress,7707,Not Elected,35933,"0,214482509",,,,,
Kathmandu,Bagmati,Hill,Central,96,8,Nabindra Raj Joshi,Nepali Congress,11005,Elected,34381,"0,320089584","0,12003723",,,,
Kathmandu,Bagmati,Hill,Central,96,8,Asta Laxmi Shakya,Communist Party of Nepal (UML),6878,Not Elected,34381,"0,200052354",,,,,
Kathmandu,Bagmati,Hill,Central,97,9,Dhyan Gobinda Ranjit,Nepali Congress,12501,Elected,40934,"0,305394049","0,00510578",,,,
Kathmandu,Bagmati,Hill,Central,97,9,Maila Lama Tamang,Communist Party of Nepal (Maoists),12292,Not Elected,40934,"0,300288269",,,,,
Kathmandu,Bagmati,Hill,Central,98,10,Pushpa Kamal Dahal (Prachanda),Communist Party of Nepal (Maoists),23277,Elected,47701,"0,487977191","0,233181694",,,,
Kathmandu,Bagmati,Hill,Central,98,10,Rajendra Kumar K.C.,Nepali Congress,12154,Not Elected,47701,"0,254795497",,,,,
Bhaktapur,Bagmati,Hill,Central,99,1,Narayanman Bijukchhe,Nepal Workers and Peasants Party,19972,Elected,,#DIV/0!,#DIV/0!,n/a,n/a,n/a,
Bhaktapur,Bagmati,Hill,Central,99,1,n/A,n/A,n/A,n/A,,#WERT!,,,,,
Bhaktapur,Bagmati,Hill,Central,100,2,Sunil Prajapati,Nepal Workers and Peasants Party,18100,Elected,,#DIV/0!,#DIV/0!,,,,
Bhaktapur,Bagmati,Hill,Central,100,2,n/A,n/A,n/A,n/A,,#WERT!,,,,,
Lalitpur,Bagmati,Hill,Central,101,1,Barsha Man Pun Magar,Communist Party of Nepal (Maoists),15329,Elected,48156,"0,318319628","0,027369383","20,80%","6,93%",1,
Lalitpur,Bagmati,Hill,Central,101,1,Udaya Shamsher Rana,Nepali Congress,14011,Not Elected,48156,"0,290950245",,,,,
Lalitpur,Bagmati,Hill,Central,102,2,Raj Kaji Maharjan,Communist Party of Nepal (Maoists),17088,Elected,51507,"0,331760732","0,013512726",,,,
Lalitpur,Bagmati,Hill,Central,102,2,Chandra Maharjan,Nepali Congress,16392,Not Elected,51507,"0,318248005",,,,,
Lalitpur,Bagmati,Hill,Central,103,3,Pampha Bhushal,Communist Party of Nepal (Maoists),18930,Elected,51930,"0,364529174","0,167128827",,,,
Lalitpur,Bagmati,Hill,Central,103,3,Mohan Shyam Poudel,Nepali Congress,10251,Not Elected,51930,"0,197400347",,,,,
Kavre,Bagmati,Hill,Central,104,1,Suryaman Dong Tamang,Communist Party of Nepal (Maoists),27471,Elected,51280,"0,535705928","0,395066303","84,89%","21,22%","1,0",
Kavre,Bagmati,Hill,Central,104,1,Madhu Prasad Acharya,Nepali Congress,7212,Not Elected,51280,"0,140639626",,,,,
Kavre,Bagmati,Hill,Central,105,2,Akal Bahadur Thing,Communist Party of Nepal (Maoists),18207,Elected,46500,"0,391548387","0,159548387",,,,
Kavre,Bagmati,Hill,Central,105,2,Tirtha Bahadur Paskhal,Nepali Congress,10788,Not Elected,46500,"0,232",,,,,
Kavre,Bagmati,Hill,Central,106,3,Krishna Prasad Sapkota,Communist Party of Nepal (UML),16594,Elected,48734,"0,340501498","0,041346904",,,,
Kavre,Bagmati,Hill,Central,106,3,Shiv Prasad Humagain,Nepali Congress,14579,Not Elected,48734,"0,299154594",,,,,
Kavre,Bagmati,Hill,Central,107,4,Tej Bahadur Mijar,Communist Party of Nepal (Maoists),22076,Elected,53989,"0,408898109","0,252977458",,,,
Kavre,Bagmati,Hill,Central,107,4,Rajendra Kharel,Nepali Congress,8418,Not Elected,53989,"0,155920651",,,,,
Sindhupalchok,Bagmati,Mountain,Central,108,1,Raj Kumar Shrestha,Communist Party of Nepal (Maoists),21320,Elected,54881,"0,388476886","0,248701736","81,53%","27,18%","1,00",
Sindhupalchok,Bagmati,Mountain,Central,108,1,Mohan Bahadur Basnet,Nepali Congress,7671,Not Elected,54881,"0,13977515",,,,,
Sindhupalchok,Bagmati,Mountain,Central,109,2,Agni Prasad Sapkota,Communist Party of Nepal (Maoists),30175,Elected,51873,"0,581709174","0,480673954",,,,
Sindhupalchok,Bagmati,Mountain,Central,109,2,Bhupendra Bahadur Thapa,Nepali Congress,5241,Not Elected,51873,"0,101035221",,,,,
Sindhupalchok,Bagmati,Mountain,Central,110,3,Dawa Tamang,Communist Party of Nepal (Maoists),14216,Elected,48800,"0,291311475","0,085922131",,,,
Sindhupalchok,Bagmati,Mountain,Central,110,3,Pashupati Shamsher J.B.R.,Rastriya Janshakti Party (RPP),10023,Not Elected,48800,"0,205389344",,,,,
Makwanpur,Narayani,Hill,Central,111,1,Dil Bahadur Ghising,Communist Party of Nepal (Maoists),21027,Elected,46566,"0,451552635","0,267706052","119,16%","29,79%","1,00",
Makwanpur,Narayani,Hill,Central,111,1,Indra Bahadur Baniya,Nepali Congress,8561,Not Elected,46566,"0,183846583",,,,,
Makwanpur,Narayani,Hill,Central,112,2,Prem Bahadur Pulami,Communist Party of Nepal (Maoists),16976,Elected,34721,"0,48892601","0,407303937",,,,
Makwanpur,Narayani,Hill,Central,112,2,Bhim Lama,Nepali Congress,2834,Not Elected,34721,"0,081622073",,,,,
Makwanpur,Narayani,Hill,Central,113,3,Prahlad Lamichhane,Communist Party of Nepal (Maoists),18514,Elected,49623,"0,373093122","0,217943292",,,,
Makwanpur,Narayani,Hill,Central,113,3,Ramchandra Aryal,Nepali Congress,7699,Not Elected,49623,"0,15514983",,,,,
Makwanpur,Narayani,Hill,Central,114,4,Kumari Moktan,Communist Party of Nepal (Maoists),14020,Elected,34465,"0,406789497","0,29867982",,,,
Makwanpur,Narayani,Hill,Central,114,4,Nirmala Devi Upreti,Nepali Congress,3726,Not Elected,34465,"0,108109676",,,,,
Rautahat,Narayani,Terai,Central,115,1,Baban Singh,Independent,9201,Elected,n/a,n/a,n/a,"-20,41%","-5,04%",0.4,
Rautahat,Narayani,Terai,Central,115,1,n/a,n/a,n/a,n/a,n/a,n/a,,,,,
Rautahat,Narayani,Terai,Central,116,2,Mo. Aftab Alam,Nepali Congress,16801,Elected,41763,"0,402293897","0,224959893",,,,
Rautahat,Narayani,Terai,Central,116,2,Sailendra Shah,Communist Party of Nepal (UML),7406,Not Elected,41763,"0,177334004",,,,,
Rautahat,Narayani,Terai,Central,117,3,Prabhu Saha Teli,Communist Party of Nepal (Maoists),11625,Elected,38503,"0,301924525","0,018751786",,,,
Rautahat,Narayani,Terai,Central,117,3,Ram Kishor Prasad Yadav,"Madhesi People's Rights Forum, Nepal",10903,Not Elected,38503,"0,28317274",,,,,
Rautahat,Narayani,Terai,Central,118,4,Krishna Prasad Yadav,Nepali Congress,9997,Elected,42265,"0,236531409","0,025576718",,,,
Rautahat,Narayani,Terai,Central,118,4,Satya Narayan Bhagatbin,Communist Party of Nepal (Maoists),8916,Not Elected,42265,"0,210954691",,,,,
Rautahat,Narayani,Terai,Central,119,5,Govinda Chaudhari,Tarai Madhes Loktantrik Party,11732,Elected,42089,"0,278742664","0,059326665",,,,
Rautahat,Narayani,Terai,Central,119,5,Bindeshwor Raya Yadav,Communist Party of Nepal (Maoists),9235,Not Elected,42089,"0,219415999",,,,,
Rautahat,Narayani,Terai,Central,120,6,Devendra Prasad Patel,Communist Party of Nepal (Maoists),10133,Elected,39205,"0,258461931","0,087004209",,,,
Rautahat,Narayani,Terai,Central,120,6,Rajendra Raya Yadav,Tarai Madhes Loktantrik Party,6722,Not Elected,39205,"0,171457722",,,,,
Bara,Narayani,Terai,Central,121,1,Saroj Kumar Yadav,Sadhvawana Party,8182,Elected,n/a,n/a,n/a,"-6,79%","1,87%",0.4,
Bara,Narayani,Terai,Central,121,1,n/A,n/A,n/A,n/A,n/a,n/a,,,,,
Bara,Narayani,Terai,Central,122,2,Sivachandra Prasad Kushwaha,Communist Party of Nepal (Maoists),10991,Elected,40076,"0,274253918","0,010155704",,,,
Bara,Narayani,Terai,Central,122,2,Bachha Raut Ahi,"Madhesi People's Rights Forum, Nepal",10584,Not Elected,40076,"0,264098213",,,,,
Bara,Narayani,Terai,Central,123,3,Pramod Prasad Gupta,"Madhesi People's Rights Forum, Nepal",16081,Elected,38075,"0,422350624","0,272435982",,,,
Bara,Narayani,Terai,Central,123,3,Shree Prasad Paswan,Communist Party of Nepal (UML),5708,Not Elected,38075,"0,149914642",,,,,
Bara,Narayani,Terai,Central,124,4,Jitendra Prasad Sonar,Tarai Madhes Loktantrik Party,9624,Elected,40590,"0,237102735","0,02884947",,,,
Bara,Narayani,Terai,Central,124,4,Mahamud Aalam,Communist Party of Nepal (UML),8453,Not Elected,40590,"0,208253264",,,,,
Bara,Narayani,Terai,Central,125,5,Uma Kanta Chaudhari,Nepali Congress,15487,Elected,43497,"0,356047544","0,014483758",,,,
Bara,Narayani,Terai,Central,125,5,Balbir Prasad Chaudhari,Communist Party of Nepal (UML),14857,Not Elected,43497,"0,341563786",,,,,
Bara,Narayani,Terai,Central,126,6,Jay Ram Dahal,Communist Party of Nepal (Maoists),15109,Elected,41436,"0,364634617","0,237691862",,,,
Bara,Narayani,Terai,Central,126,6,Madhu Sahi Thakuri,Nepali Congress,5260,Not Elected,41436,"0,126942755",,,,,
Parsa,Narayani,Terai,Central,127,1,Karima Begam,"Madhesi People's Rights Forum, Nepal",14614,Elected,43615,"0,33506821","0,282311131","-74,58%","-18,08%",0.2,
Parsa,Narayani,Terai,Central,127,1,Babu Jan Ali Sekh,Communist Party of Nepal (UML),2301,Not Elected,43615,"0,052757079",,,,,
Parsa,Narayani,Terai,Central,128,2,Ajay Kumar Dubedi,Nepali Congress,9531,Elected,36845,"0,258678247","0,105170308",,,,
Parsa,Narayani,Terai,Central,128,2,Bichari Prasad Yadav,Communist Party of Nepal (UML),5656,Not Elected,36845,"0,153507939",,,,,
Parsa,Narayani,Terai,Central,129,3,Ajay Kumar Chaurasia,Nepali Congress,14650,Elected,44506,"0,329169101","0,207567519",,,,
Parsa,Narayani,Terai,Central,129,3,Ramchandra Shah Teli,Communist Party of Nepal (UML),5412,Not Elected,44506,"0,121601582",,,,,
Parsa,Narayani,Terai,Central,130,4,Pradhumna Prasad Chauhan,Communist Party of Nepal (UML),12590,Elected,45561,"0,276332829","0,007528369",,,,
Parsa,Narayani,Terai,Central,130,4,Surendra Prasad Chaudhari,Nepali Congress,12247,Not Elected,45561,"0,26880446",,,,,
Parsa,Narayani,Terai,Central,131,5,Ramesh Rijal,Nepali Congress,14687,Elected,51172,"0,287012429","0,158328774",,,,
Parsa,Narayani,Terai,Central,131,5,Jay Prakash Tharu,Communist Party of Nepal (UML),6585,Not Elected,51172,"0,128683655",,,,,
Chitawan,Narayani,Terai,Central,132,1,Lalmani Chaudhari,Communist Party of Nepal (UML),17971,Elected,47161,"0,381056381","0,196836369","61,46%","15,37%","1,0",
Chitawan,Narayani,Terai,Central,132,,Sabitri Bogati Pathak,Nepali Congress,8688,Not Elected,47161,"0,184220012",,,,,
Chitawan,Narayani,Terai,Central,133,2,Ram Bahadur Thapa,Communist Party of Nepal (Maoists),21409,Elected,50109,"0,427248598","0,167634557",,,,
Chitawan,Narayani,Terai,Central,133,2,Eknath Ranavat,Nepali Congress,13009,Not Elected,50109,"0,259614041",,,,,
Chitawan,Narayani,Terai,Central,134,3,Narayan Prasad Dahal,Communist Party of Nepal (Maoists),17804,Elected,44197,"0,402832771","0,135801072",,,,
Chitawan,Narayani,Terai,Central,134,3,Maiya Devi Shrestha,Nepali Congress,11802,Not Elected,44197,"0,267031699",,,,,
Chitawan,Narayani,Terai,Central,135,4,Chitra Bahadur Shrestha,Communist Party of Nepal (Maoists),23942,Elected,51185,"0,467754225","0,11433037",,,,
Chitawan,Narayani,Terai,Central,135,4,Tek Prasad Gurung,Nepali Congress,18090,Not Elected,51185,"0,353423855",,,,,
Chitawan,Narayani,Terai,Central,136,5,Amik Sherchan,Janamorcha Nepal,14397,Elected,n/a,n/a,n/a,,,,
Chitawan,Narayani,Terai,Central,136,5,n/a,n/a,n/a,n/a,n/a,n/a,,,,,
Gorkha,Gandaki,Hill,Western,137,1,Parbati Thapa Shrestha,Communist Party of Nepal (Maoists),40606,Elected,58316,"0,696309761","0,539543179","171,90%","57,30%",1,
Gorkha,Gandaki,Hill,Western,137,1,Chiranjibi Wagle,Nepali Congress,9142,Not Elected,58316,"0,156766582",,,,,
Gorkha,Gandaki,Hill,Western,138,2,Baburam Bhattrai,Communist Party of Nepal (Maoists),46272,Elected,57489,"0,804884413","0,698029188",,,,
Gorkha,Gandaki,Hill,Western,138,2,Chandra Prasad Neupane,Nepali Congress,6143,Not Elected,57489,"0,106855224",,,,,
Gorkha,Gandaki,Hill,Western,139,3,Amar Bahadur Gurung (Tamu),Communist Party of Nepal (Maoists),28969,Elected,44711,"0,64791662","0,481469884",,,,
Gorkha,Gandaki,Hill,Western,139,3,Chinkaji Shrestha,Nepali Congress,7442,Not Elected,44711,"0,166446736",,,,,
Manang,Gandaki,Mountain,Western,140,1,Dev Prasad Gurung,Communist Party of Nepal (Maoists),1652,Elected,2998,"0,551034023","0,147765177","14,78%","14,78%",1,
Manang,Gandaki,Mountain,Western,140,1,Palten Gurung,Nepali Congress,1209,Not Elected,2998,"0,403268846",,,,,
Lamjung,Gandaki,Hill,Western,141,1,Buddhi Ram Gurung,Communist Party of Nepal (Maoists),21044,Elected,45121,"0,466390373","0,23297356","36,44%","18,22%","1,0",
Lamjung,Gandaki,Hill,Western,141,1,Tulsi Narayan Shrestha,Nepali Congress,10532,Not Elected,45121,"0,233416813",,,,,
Lamjung,Gandaki,Hill,Western,142,2,Prithhivi Subba Gurung,Communist Party of Nepal (UML),19583,Elected,44777,"0,437345066","0,131406749",,,,
Lamjung,Gandaki,Hill,Western,142,2,Dil Bahadur Gharti,Nepali Congress,13699,Not Elected,44777,"0,305938317",,,,,
Kaski,Gandaki,Hill,Western,143,1,Dev Prasad Gurung,Communist Party of Nepal (Maoists),17409,Elected,49188,"0,353927787","0,063348784","35,65%","8,91%","1,0",
Kaski,Gandaki,Hill,Western,143,1,Yagya Bahadur Thapa,Nepali Congress,14293,Not Elected,49188,"0,290579003",,,,,
Kaski,Gandaki,Hill,Western,144,2,Raj Kaji Gurung,Communist Party of Nepal (Maoists),14832,Elected,31063,"0,477481248","0,131635708",,,,
Kaski,Gandaki,Hill,Western,144,2,Sarada Devi Paudel,Nepali Congress,10743,Not Elected,31063,"0,34584554",,,,,
Kaski,Gandaki,Hill,Western,145,3,Rabindra Prasad Adhikari,Communist Party of Nepal (UML),13386,Elected,35853,"0,373357878","0,121189301",,,,
Kaski,Gandaki,Hill,Western,145,3,Binda Devi Ranamagar,Nepali Congress,9041,Not Elected,35853,"0,252168577",,,,,
Kaski,Gandaki,Hill,Western,146,4,Durga Kumari B.K,Communist Party of Nepal (Maoists),14866,Elected,48918,"0,303896316","0,040373687",,,,
Kaski,Gandaki,Hill,Western,146,3,Prakash Bahadur Gurung,Nepali Congress,12891,Not Elected,48918,"0,26352263",,,,,
Tanahu,Gandaki,Hill,Western,147,1,Suresh Kumar Ale Magar,Communist Party of Nepal (Maoists),17744,Elected,42881,"0,41379632","0,169468996","1,93%","-7,71%",0.66,
Tanahu,Gandaki,Hill,Western,147,1,Govinda Raj Joshi,Nepali Congress,10477,Not Elected,42881,"0,244327324",,,,,
Tanahu,Gandaki,Hill,Western,148,2,Ram Chandra Poudel,Nepali Congress,18970,Elected,45632,"0,415717041","0,173562412",,,,
Tanahu,Gandaki,Hill,Western,148,2,Dambar Bahadur Biswokarma,Communist Party of Nepal (Maoists),11050,Not Elected,45632,"0,242154628",,,,,
Tanahu,Gandaki,Hill,Western,149,3,Kiran Gurung,Communist Party of Nepal (UML),14786,Elected,44729,"0,330568535","0,023362919",,,,
Tanahu,Gandaki,Hill,Western,149,3,Tara Raj Rana,Nepali Congress,13741,Not Elected,44729,"0,307205616",,,,,
Syangja,Gandaki,Hill,Western,150,1,Hit Kaji Gurung,Communist Party of Nepal (UML),18101,Elected,51187,"0,353624944","0,033348311","-8,19%","-2,43%",0.33,
Syangja,Gandaki,Hill,Western,150,1,Kamal Prasad Pangeni,Nepali Congress,16394,Not Elected,51187,"0,320276633",,,,,
Syangja,Gandaki,Hill,Western,151,2,Gopal Man Shrestha,Nepali Congress,17247,Elected,45253,"0,381123903","0,112125163",,,,
Syangja,Gandaki,Hill,Western,151,2,Chakra Bahadur Parajuli,Communist Party of Nepal (UML),12173,Not Elected,45253,"0,26899874",,,,,
Syangja,Gandaki,Hill,Western,152,3,Mohan Prasad Pandey,Nepali Congress,18419,Elected,51312,"0,358960867","0,003157156",,,,
Syangja,Gandaki,Hill,Western,152,3,Mukti Prasad Pathak,Communist Party of Nepal (UML),18257,Not Elected,51312,"0,355803711",,,,,
Gulmi,Lumbini,Hill,Western,153,1,Sudarshan Baral,Communist Party of Nepal (Maoists),14165,Elected,36153,"0,391807042","0,12347523","33,18%","11,06%","1,00",
Gulmi,Lumbini,Hill,Western,153,1,Subarna Jwarchan,Nepali Congress,9701,Not Elected,36153,"0,268331812",,,,,
Gulmi,Lumbini,Hill,Western,154,2,Pradeep Kumar Gyawli,Communist Party of Nepal (UML),23253,Elected,54175,"0,42922012","0,03972312",,,,
Gulmi,Lumbini,Hill,Western,154,2,Chandra Bhandari,Nepali Congress,21101,Not Elected,54175,"0,389497",,,,,
Gulmi,Lumbini,Hill,Western,155,3,Chandra Bahadur Thapa,Communist Party of Nepal (Maoists),16581,Elected,44175,"0,375348048","0,168624788",,,,
Gulmi,Lumbini,Hill,Western,155,3,Suresh Chandra Bhusal,Nepali Congress,9132,Not Elected,44175,"0,20672326",,,,,
Palpa,Lumbini,Hill,Western,156,1,Dal Bahadur Rana,Communist Party of Nepal (UML),19185,Elected,44744,"0,428772573","0,141002146","19,73%","6,58%","1,00",
Palpa,Lumbini,Hill,Western,156,1,Dhan Bahadur Rana,Nepali Congress,12876,Not Elected,44744,"0,287770427",,,,,
Palpa,Lumbini,Hill,Western,157,2,Mrs. Lila Kumari Bagale Somai,Communist Party of Nepal (Maoists),12750,Elected,40099,"0,317963041","0,048130876",,,,
Palpa,Lumbini,Hill,Western,157,2,Rajan Prasad Pant,Nepali Congress,10820,Not Elected,40099,"0,269832165",,,,,
Palpa,Lumbini,Hill,Western,158,3,Kul Prasad Nepal,Communist Party of Nepal (UML),12951,Elected,40802,"0,317410911","0,008136856",,,,
Palpa,Lumbini,Hill,Western,158,3,Hari Prasad Nepal,Nepali Congress,12619,Not Elected,40802,"0,309274055",,,,,
Arghakhanchi,Lumbini,Hill,Western,159,1,Top Bahadur Rayamajhi,Communist Party of Nepal (Maoists),19584,Elected,42363,"0,462290206","0,212284305","16,70%","16,70%",0.5,
Arghakhanchi,Lumbini,Hill,Western,159,1,Man Bahadur Bishwakarma,Nepali Congress,10591,Not Elected,42363,"0,250005901",,,,,
Arghakhanchi,Lumbini,Hill,Western,160,2,Puspa Bhusal,Nepali Congress,16992,Elected,48266,"0,352049061","0,045311399",,,,
Arghakhanchi,Lumbini,Hill,Western,160,2,Dilli Raj Khanal,Communist Party of Nepal (UML),14805,Not Elected,48266,"0,306737662",,,,,
Nawalparasi,Lumbini,Terai,Western,161,1,Shashanka Koirala,Nepali Congress,17430,Elected,49176,"0,354441191","0,049983732","-7,30%","2,02%",0.33,
Nawalparasi,Lumbini,Terai,Western,161,1,Thakur Prasad Chapagain,Communist Party of Nepal (Maoists),14972,Not Elected,49176,"0,304457459",,,,,
Nawalparasi,Lumbini,Terai,Western,162,2,Mahendra Dhoj G.C,Nepali Congress,12166,Elected,42742,"0,284638061","0,009288288",,,,
Nawalparasi,Lumbini,Terai,Western,162,2,Jeevan Shrestha,Communist Party of Nepal (UML),11769,Not Elected,42742,"0,275349773",,,,,
Nawalparasi,Lumbini,Terai,Western,163,3,Sita Devi Boudel,Communist Party of Nepal (Maoists),13535,Elected,45917,"0,294771","0,058170177",,,,
Nawalparasi,Lumbini,Terai,Western,163,3,Omkala Gautam,Nepali Congress,10864,Not Elected,45917,"0,236600823",,,,,
Nawalparasi,Lumbini,Terai,Western,164,4,Chinak Kurmi,Communist Party of Nepal (Maoists),10592,Elected,44846,"0,236186059","0,095794497",,,,
Nawalparasi,Lumbini,Terai,Western,164,4,Satrajit Yadhav,Tarai Madhes Loktantrik Party,6296,Not Elected,44846,"0,140391562",,,,,
Nawalparasi,Lumbini,Terai,Western,165,5,Ram Bachhan Ahir(Yadhav),"Madhesi People's Rights Forum, Nepal",13641,Elected,46842,"0,291213014","0,059604628",,,,
Nawalparasi,Lumbini,Terai,Western,165,5,Raju Prasad Chamar Harijan,Communist Party of Nepal (Maoists),10849,Not Elected,46842,"0,231608386",,,,,
Nawalparasi,Lumbini,Terai,Western,166,6,Hridayesh Tripathi,Tarai Madhes Loktantrik Party,10029,Elected,39604,"0,253231997","0,108069892",,,,
Nawalparasi,Lumbini,Terai,Western,166,6,Rohit Prasad Kewat,Communist Party of Nepal (Maoists),5749,Not Elected,39604,"0,145162105",,,,,
Rupandehi,Lumbini,Terai,Western,167,1,Ghan Shyam Yadav Ahir,Communist Party of Nepal (Maoists),12624,Elected,48902,"0,258148951","0,033147929","-26,17%","-5,35%",0.43,
Rupandehi,Lumbini,Terai,Western,167,1,Abdul Rajjak Gahi,Nepali Congress,11003,Not Elected,48902,"0,225001022",,,,,
Rupandehi,Lumbini,Terai,Western,168,2,Om Prakash Yadhav,"Madhesi People's Rights Forum, Nepal",10612,Elected,43798,"0,242294169","0,017877529",,,,
Rupandehi,Lumbini,Terai,Western,168,2,Devi Prasad Chaudhari,Communist Party of Nepal (UML),9829,Not Elected,43798,"0,22441664",,,,,
Rupandehi,Lumbini,Terai,Western,169,3,Bal Krishna Khand,Nepali Congress,16790,Elected,49382,"0,34000243","0,026973391",,,,
Rupandehi,Lumbini,Terai,Western,169,3,Lila Giri,Communist Party of Nepal (UML),15458,Not Elected,49382,"0,313029039",,,,,
Rupandehi,Lumbini,Terai,Western,170,4,Bishnu Prasad Paudel,Communist Party of Nepal (UML),15880,Elected,46923,"0,338426784","0,057498455",,,,
Rupandehi,Lumbini,Terai,Western,170,4,Surya Prasad Pradhan,Nepali Congress,13182,Not Elected,46923,"0,280928329",,,,,
Rupandehi,Lumbini,Terai,Western,171,5,Ramnath Dhakal,Communist Party of Nepal (UML),11080,Elected,41278,"0,268423858","0,052328117",,,,
Rupandehi,Lumbini,Terai,Western,171,5,Bharat Kumar Shah,Nepali Congress,8920,Not Elected,41278,"0,216095741",,,,,
Rupandehi,Lumbini,Terai,Western,172,6,Omprakash Yadav,"Madhesi People's Rights Forum, Nepal",12170,Elected,38443,"0,316572588","0,233748667",,,,
Rupandehi,Lumbini,Terai,Western,172,6,Devendranath Pandey,Communist Party of Nepal (Maoists),3184,Not Elected,38443,"0,082823921",,,,,
Rupandehi,Lumbini,Terai,Western,173,7,Muhammad Okil Musalman,"Madhesi People's Rights Forum, Nepal",8121,Elected,34856,"0,232987147","0,12606151",,,,
Rupandehi,Lumbini,Terai,Western,173,7,Maksudh Ali,Communist Party of Nepal (Maoists),3727,Not Elected,34856,"0,106925637",,,,,
Kapilbastu,Lumbini,Terai,Western,174,1,Deep Kumar Upadhaya (Lamichhane),Nepali Congress,12997,Elected,46041,"0,28229187","0,004235355","-66,73%","-13,35%","0,00",
Kapilbastu,Lumbini,Terai,Western,174,1,Balaram Adhikari,Communist Party of Nepal (UML),12802,Not Elected,46041,"0,278056515",,,,,
Kapilbastu,Lumbini,Terai,Western,175,2,Dan Bahadur Kurmi,Tarai Madhes Loktantrik Party,8434,Elected,35800,"0,235586592","0,017541899",,,,
Kapilbastu,Lumbini,Terai,Western,175,2,RamLaut Tiwari,Communist Party of Nepal (Maoists),7806,Not Elected,35800,"0,218044693",,,,,
Kapilbastu,Lumbini,Terai,Western,176,3,Brijesh Kumar Gupta,Tarai Madhes Loktantrik Party,18126,Elected,35066,"0,516910968","0,347801289",,,,
Kapilbastu,Lumbini,Terai,Western,176,3,Meghraj Gyawali,Communist Party of Nepal (Maoists),5930,Not Elected,35066,"0,169109679",,,,,
Kapilbastu,Lumbini,Terai,Western,177,4,Ishwar Dayal Mishra,Tarai Madhes Loktantrik Party,10394,Elected,40860,"0,254380813","0,105922663",,,,
Kapilbastu,Lumbini,Terai,Western,177,4,Iliyas Musalma,Communist Party of Nepal (Maoists),6066,Not Elected,40860,"0,14845815",,,,,
Kapilbastu,Lumbini,Terai,Western,178,5,Abhisek Pratap Shah,"Madhesi People's Rights Forum, Nepal",15694,Elected,43629,"0,359714869","0,191776112",,,,
Kapilbastu,Lumbini,Terai,Western,178,5,Uma B.K,Communist Party of Nepal (Maoists),7327,Not Elected,43629,"0,167938756",,,,,
Mustang,Dhawalagiri,Mountain,Western,179,1,Chandra Bahadur Gurung,Communist Party of Nepal (UML),2456,Elected,6134,"0,400391262","0,010433649","1,04%","0,00%",1,
Mustang,Dhawalagiri,Mountain,Western,179,1,Sushil Man Sherchan,Nepali Congress,2392,Not Elected,6134,"0,389957613",,,,,
Myagdi,Dhawalagiri,Hill,Western,180,1,Govinda Paudel,Communist Party of Nepal (Maoists),23102,Elected,49362,"0,468011831","0,313520522","31,35%","31,35%",1,
Myagdi,Dhawalagiri,Hill,Western,180,1,Resham Bahadur Baniya,Nepali Congress,7626,Not Elected,49362,"0,154491309",,,,,
Baglung,Dhawalagiri,Hill,Western,181,1,Ramjee Prasad Sharma,Communist Party of Nepal (UML),15786,Elected,50781,"0,3108643","0,074220673","-2,07%","-2,07%",0.5,
Baglung,Dhawalagiri,Hill,Western,181,1,Hari Prasad Shrestha,Nepali Congress,12017,Not Elected,50781,"0,236643627",,,,,
Baglung,Dhawalagiri,Hill,Western,182,2,Chitra Prasad K.C.,Rastriya Janamorcha,12594,Elected,n/a,n/a,n/a,,,,
Baglung,Dhawalagiri,Hill,Western,182,2,n/a,n/a,n/a,n/a,n/a,n/a,,,,,
